	Unnamed: 0	key	Page Links	Titles	Gender	IsDeleted	Word Count
0	0	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Foxes:_The_Musical	Foxes: The Musical	Female	True	0
1	1	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Political_positions_of_Pat_Buchanan	Political positions of Pat Buchanan	Male	True	0
2	2	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Sekalli_le_Meokgo	Sekalli le Meokgo	Male	False	0
3	3	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Jesse_Waits	Jesse Waits	Male	True	0
4	4	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Daniella_Vitale	Daniella Vitale	Female	False	0
5	5	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Deborah_Hurwitz	Deborah Hurwitz	Female	True	0
6	6	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Yan_Perchuk	Yan Perchuk	Male	True	0
7	7	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Lina_Lecaro	Lina Lecaro	Female	True	0
8	8	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Cormac_%C3%93_Com%C3%A1in	Cormac Ó Comáin	Male	True	0
9	9	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Doud_Eisenhower	Doud Eisenhower	Male	False	0
10	10	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Glendon_Association	Glendon Association	Female	True	0
11	11	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/M%C3%ADche%C3%A1l_%C3%93_hAodha	Mícheál Ó hAodha	Male	False	0
12	12	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Emma_Jose_Townsend	Emma Jose Townsend	Male	False	0
13	13	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Marc_Rowley	Marc Rowley	Male	True	0
14	14	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Chowdhry_Girdhari_Lal	Chowdhry Girdhari Lal	Male	True	0
15	15	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Eyitope_Ogungbenro_Ogunbodede	Eyitope Ogungbenro Ogunbodede	Male	False	0
16	16	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Aliyu_Usman_Mani	Aliyu Usman Mani	Male	True	0
17	17	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Theodore_Kantakouzenos	Theodore Kantakouzenos	Male	False	0
18	18	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/John_Michael_Cummings	John Michael Cummings	Male	True	0
19	19	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Dr_Ropate_Rakuita_Qalo	Dr Ropate Rakuita Qalo	Male	True	0
20	20	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/A_Conversation_with_Norman	A Conversation with Norman	Male	True	0
21	21	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Era_1_(Kim_Petras)	Era 1 (Kim Petras)	Female	False	0
22	22	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/2027_FIFA_Women%27s_World_Cup	2027 FIFA Women's World Cup	Female	False	0
23	23	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Exner_Revival_Cars	Exner Revival Cars	Male	False	0
24	24	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Vardhan_Puri	Vardhan Puri	Male	True	0
25	25	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Ma_Sang-hoon	Ma Sang-hoon	Male	False	0
26	26	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Nick_Phillips_(ice_hockey)	Nick Phillips (ice hockey)	Male	True	0
