	key	Page Links	Titles	Gender	IsDeleted
0	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Foxes:_The_Musical	Foxes: The Musical	Female	False
1	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/ADSL_Max	ADSL Max	Unknown	False
2	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Political_positions_of_Pat_Buchanan	Political positions of Pat Buchanan	Male	False
3	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Palgeocheon	Palgeocheon	Unknown	False
4	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Sekalli_le_Meokgo	Sekalli le Meokgo	Male	False
5	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Jesse_Waits	Jesse Waits	Male	False
6	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Daniella_Vitale	Daniella Vitale	Female	False
7	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Deborah_Hurwitz	Deborah Hurwitz	Female	False
8	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Yan_Perchuk	Yan Perchuk	Male	False
9	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Lina_Lecaro	Lina Lecaro	Female	False
10	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Cormac_%C3%93_Com%C3%A1in	Cormac Ó Comáin	Male	False
11	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Doud_Eisenhower	Doud Eisenhower	Male	False
12	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Glendon_Association	Glendon Association	Female	False
13	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/M%C3%ADche%C3%A1l_%C3%93_hAodha	Mícheál Ó hAodha	Male	False
14	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Emma_Jose_Townsend	Emma Jose Townsend	Male	False
15	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/City_Vision_University	City Vision University	Unknown	False
16	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/UT_Models	UT Models	Unknown	False
17	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Lee_Records	Lee Records	Unknown	False
18	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Montpellier_Sharks	Montpellier Sharks	Unknown	False
19	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Marc_Rowley	Marc Rowley	Male	False
20	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Chowdhry_Girdhari_Lal	Chowdhry Girdhari Lal	Male	False
21	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Eyitope_Ogungbenro_Ogunbodede	Eyitope Ogungbenro Ogunbodede	Male	False
22	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Aliyu_Usman_Mani	Aliyu Usman Mani	Male	False
23	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Theodore_Kantakouzenos	Theodore Kantakouzenos	Male	False
24	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/John_Michael_Cummings	John Michael Cummings	Male	False
25	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Dr_Ropate_Rakuita_Qalo	Dr Ropate Rakuita Qalo	Male	False
26	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/A_Conversation_with_Norman	A Conversation with Norman	Male	False
27	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Era_1_(Kim_Petras)	Era 1 (Kim Petras)	Female	False
28	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/2027_FIFA_Women%27s_World_Cup	2027 FIFA Women's World Cup	Female	False
29	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Doctoranytime	Doctoranytime	Unknown	False
30	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Exner_Revival_Cars	Exner Revival Cars	Male	False
31	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Electronic_Document_Professional	Electronic Document Professional	Unknown	False
32	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Vardhan_Puri	Vardhan Puri	Male	False
33	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Ma_Sang-hoon	Ma Sang-hoon	Male	False
34	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Nick_Phillips_(ice_hockey)	Nick Phillips (ice hockey)	Male	False
35	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/TripleLift	TripleLift	Unknown	False
36	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Latitude_Learning	Latitude Learning	Unknown	False
37	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Honor_Harrington	Honor Harrington	Female	False
38	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Mamta_Saikia	Mamta Saikia	Female	False
39	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Rob_Bruce	Rob Bruce	Male	False
40	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Elena_Berkova	Elena Berkova	Female	False
41	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Aishat_Bello	Aishat Bello	Female	False
42	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Gary_Goh	Gary Goh	Male	False
43	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Owle_Schreame_Awards	Owle Schreame Awards	Male	False
44	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Chavda_dynasty	Chavda dynasty	Male	False
45	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Luxembourg_Approach_Controllers_Association	Luxembourg Approach Controllers Association	Unknown	False
46	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Conga_Cooler	Conga Cooler	Unknown	False
47	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Charlanta	Charlanta	Unknown	False
48	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Sean_Cunningham_(basketball)	Sean Cunningham (basketball)	Male	False
49	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/K-391	K-391	Male	False
50	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Zimbabwe_Institute_of_Management	Zimbabwe Institute of Management	Unknown	False
51	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/David_Cochrane_(journalist)	David Cochrane (journalist)	Male	False
52	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Appropriations_Committee_(Georgia_Senate)	Appropriations Committee (Georgia Senate)	Male	False
53	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/2017%E2%80%9318_AD_Bairro_season	2017–18 AD Bairro season	Unknown	False
54	Wikipedia:Articles for deletion/Log/2019 June 8	https://en.wikipedia.org/wiki/Pancakes_and_Powerslams	Pancakes and Powerslams	Unknown	False
55	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Alexander_Yelagin	Alexander Yelagin	Male	False
56	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Jared_Seide	Jared Seide	Male	False
57	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Supreme_Court_Residences	Supreme Court Residences	Unknown	False
58	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/SenesTech	SenesTech	Female	False
59	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Ramsey_Orta	Ramsey Orta	Male	False
60	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Punyaha	Punyaha	Unknown	False
61	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/World_Law_Group	World Law Group	Unknown	False
62	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Geraldine_Weir-Rogers_v._Sf_Trust_Ltd	Geraldine Weir-Rogers v. Sf Trust Ltd	Female	False
63	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Alma_and_Lila_L%C3%A9vy	Alma and Lila Lévy	Female	False
64	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/One_Night_(2009_film)	One Night (2009 film)	Female	False
65	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/w/index.php?title=Masonite_(web_framework)&action=edit&redlink=1	Masonite (web framework) (page does not exist)	Unknown	True
66	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Kanish_Sharma	Kanish Sharma	Male	False
67	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Edwin_C.O._Uzor	Edwin C.O. Uzor	Male	False
68	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Shivani_Rajasekhar	Shivani Rajasekhar	Female	False
69	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Atlantis_Group	Atlantis Group	Male	False
